"","symbol","tair","top_spear_cor"
"AT3G48990","AAE3","AT3G48990",0.175071255023834
"AT4G25640","FFT","AT4G25640",0.174968653059087
"AT1G75710","None","AT1G75710",0.174725248715733
"AT1G04220","KCS2","AT1G04220",0.174654382871159
"AT3G43600","ATAO3","AT3G43600",0.174387897703155
"AT5G47500","PME5","AT5G47500",0.174287552682854
"AT5G06250","NGAL3","AT5G06250",0.174143941146193
"AT2G41020","None","AT2G41020",0.173867527802188
"AT3G09770","LOG2","AT3G09770",0.173674178166633
"AT4G14145","None","AT4G14145",0.173630052358859
"AT5G55910","D6PK","AT5G55910",0.173630052358859
"AT5G59890","ATADF4","AT5G59890",0.173630052358859
"AT3G10820","None","AT3G10820",0.173508507191712
"AT2G37230","RPPR5","AT2G37230",0.173463305795217
"AT1G35180","None","AT1G35180",0.173196984392596
"AT3G18840","None","AT3G18840",0.173108064989551
"AT5G19060","None","AT5G19060",0.173108064989551
"AT5G39680","EMB2744","AT5G39680",0.173108064989551
"AT3G13980","BG4","AT3G13980",0.172889607836168
"AT3G02310","SEP2","AT3G02310",0.172694487001841
"AT1G19490","None","AT1G19490",0.172313811005203
"AT1G64580","None","AT1G64580",0.172313811005203
"AT2G21350","None","AT2G21350",0.172313811005203
"AT2G29580","MAC5B","AT2G29580",0.172313811005203
"AT2G37560","ORC2","AT2G37560",0.172313811005203
"AT2G45150","CDS4","AT2G45150",0.172313811005203
"AT3G01170","None","AT3G01170",0.172313811005203
"AT3G20480","LPXK","AT3G20480",0.172313811005203
"AT5G61070","HDA18","AT5G61070",0.172313811005203
"AT1G79420","BDR2","AT1G79420",0.172203062640837
"AT1G47278","None","AT1G47278",0.172146000696295
"AT1G22250","None","AT1G22250",0.171888732057127
"AT1G15165","None","AT1G15165",0.171742940794421
"AT2G18328","RL4","AT2G18328",0.171742940794421
"AT2G29760","QED1","AT2G29760",0.171742940794421
"AT2G46290","None","AT2G46290",0.171742940794421
"AT3G46658","None","AT3G46658",0.171742940794421
"AT4G29905","None","AT4G29905",0.171742940794421
"AT5G19151","None","AT5G19151",0.171742940794421
"AT4G36650","PBRP","AT4G36650",0.171588399621734
"AT5G18690","ATAGP25","AT5G18690",0.171515448249068
"AT1G76110","None","AT1G76110",0.171216170559824
"AT5G43810","ZLL","AT5G43810",0.170865040308952
"AT1G16705","None","AT1G16705",0.170540390232878
"AT5G62100","BAG2","AT5G62100",0.170540390232878
"AT1G03590","None","AT1G03590",0.170384495246231
"AT5G62210","None","AT5G62210",0.170384495246231
"AT4G27870","None","AT4G27870",0.170236890604352
"AT1G02340","RSF1","AT1G02340",0.170215071304516
"AT2G18120","SRS4","AT2G18120",0.170215071304516
"AT3G11000","None","AT3G11000",0.169890782946547
"AT1G52150","ICU4","AT1G52150",0.169871707315456
"AT5G19180","ECR1","AT5G19180",0.169535286182091
"AT3G10660","CPK2","AT3G10660",0.169434871689317
"AT3G55560","AHL15","AT3G55560",0.16940289405128
"AT4G00870","BHLH14","AT4G00870",0.169125309444374
"AT1G10370","GSTU17","AT1G10370",0.168614392747675
"AT1G69890","None","AT1G69890",0.168197712437025
"AT3G01140","NOK","AT3G01140",0.168197712437025
"AT4G31990","ATAAT1","AT4G31990",0.167971223871979
"AT4G31615","REM35","AT4G31615",0.167771724507327
"AT3G18850","LPAT5","AT3G18850",0.167651553478122
"AT4G36870","SAW1","AT4G36870",0.16762518406846
"AT1G16510","SAUR41","AT1G16510",0.166884451461544
"AT1G23750","None","AT1G23750",0.166884451461544
"AT3G06780","None","AT3G06780",0.166884451461544
"AT2G17820","HK1","AT2G17820",0.16632117892266
"AT2G33770","UBC24","AT2G33770",0.166161228452026
"AT5G40840","SYN2","AT5G40840",0.16609956167822
"AT5G60200","TMO6","AT5G60200",0.16605188195897
"AT5G61480","TDR","AT5G61480",0.166047414746471
"AT1G28130","VAS2","AT1G28130",0.16600618310488
"AT2G04570","None","AT2G04570",0.165963705980301
"AT5G57780","P1R1","AT5G57780",0.165963705980301
"AT3G20395","None","AT3G20395",0.16585848167503
"AT3G51670","PATL6","AT3G51670",0.165733548515622
"AT1G66760","None","AT1G66760",0.165619250114545
"AT1G55540","LNO1","AT1G55540",0.165211644325142
"AT1G74030","ENO1","AT1G74030",0.165211644325142
"AT3G49080","RPS9M","AT3G49080",0.165211644325142
"AT5G18110","NCBP","AT5G18110",0.165211644325142
"AT2G34925","CLE42","AT2G34925",0.165202323618903
"AT2G30920","EMB3002","AT2G30920",0.165140069725652
"AT1G49890","QWRF2","AT1G49890",0.164916706574148
"AT2G21060","GRP2B","AT2G21060",0.164880650655017
"AT1G79160","None","AT1G79160",0.164829532364498
"AT5G09460","SACL1","AT5G09460",0.164727103238639
"AT1G02850","BGLU11","AT1G02850",0.164563920915581
"AT1G13710","KLU","AT1G13710",0.164507957894678
"AT2G45970","LCR","AT2G45970",0.164458956420197
"AT4G37330","CYP81D4","AT4G37330",0.164315461453801
"AT1G53700","WAG1","AT1G53700",0.164112951234646
"AT1G62500","None","AT1G62500",0.16410713882479
"AT5G13790","AGL15","AT5G13790",0.164087989768734
"AT4G23750","TMO3","AT4G23750",0.164073515428629
"AT5G65925","None","AT5G65925",0.164050155299139
"AT1G53210","NCL","AT1G53210",0.163913697667099
"AT2G30530","MADA4","AT2G30530",0.163913697667099
"AT5G14620","DRM2","AT5G14620",0.163913697667099
"AT3G48640","None","AT3G48640",0.163811471125938
"AT3G57800","None","AT3G57800",0.163799402218001
"AT3G57810","None","AT3G57810",0.163649149150572
"AT2G15050","LTP7","AT2G15050",0.163560200630615
"AT4G21680","NRT1.8","AT4G21680",0.163176443901263
"AT4G36220","FAH1","AT4G36220",0.163146422476345
"AT5G54200","WDD1","AT5G54200",0.163085520322886
"AT4G18593","None","AT4G18593",0.162895363783097
"AT1G11000","MLO4","AT1G11000",0.162675954213255
"AT5G39550","VIM3","AT5G39550",0.16264291712822
"AT2G31280","LL2","AT2G31280",0.162569621409061
"AT3G61050","NTMC2TYPE4","AT3G61050",0.162418775602354
"AT5G53660","GRF7","AT5G53660",0.162301046615993
"AT5G09950","MEF7","AT5G09950",0.16218396706689
"AT5G56270","WRKY2","AT5G56270",0.16218396706689
"AT3G24420","DLK2","AT3G24420",0.162088559321271
"AT3G51660","None","AT3G51660",0.161951769139538
"AT1G21370","None","AT1G21370",0.1619057936534
"AT1G69270","RPK1","AT1G69270",0.1619057936534
"AT1G72610","GLP1","AT1G72610",0.1619057936534
"AT1G74600","OTP87","AT1G74600",0.1619057936534
"AT3G03370","None","AT3G03370",0.1619057936534
"AT4G36280","MORC2","AT4G36280",0.1619057936534
"AT5G42850","None","AT5G42850",0.1619057936534
"AT5G47580","ASG7","AT5G47580",0.1619057936534
"AT1G21310","RSH","AT1G21310",0.161886332367068
"AT1G49730","None","AT1G49730",0.161871880588624
"AT2G45900","TRM13","AT2G45900",0.161828317731225
"AT5G18970","None","AT5G18970",0.161828317731225
"AT4G30270","XTH24","AT4G30270",0.161825705679068
"AT2G26910","PEC1","AT2G26910",0.161793459636572
"AT4G21910","None","AT4G21910",0.161772463195502
"AT3G22810","FL2","AT3G22810",0.161753108946222
"AT2G46890","None","AT2G46890",0.161499737455693
"AT3G07910","None","AT3G07910",0.161398346735542
"AT1G67220","HAC2","AT1G67220",0.161279144102509
"AT2G16720","MYB7","AT2G16720",0.161279144102509
"AT2G30640","None","AT2G30640",0.161279144102509
"AT3G43270","None","AT3G43270",0.161279144102509
"AT3G54120","None","AT3G54120",0.161279144102509
"AT3G61170","None","AT3G61170",0.161279144102509
"AT5G37740","None","AT5G37740",0.161279144102509
"AT5G43250","NF-YC13","AT5G43250",0.161279144102509
